Banská Bystrica,Banská Bystrica,Banskobystrický,"80,466"
Banská Štiavnica,Banská Štiavnica,Banskobystrický,"10,64"
Banské,Vranov nad Topľou,Prešovský,"1,608"
Banský Studenec,Banská Štiavnica,Banskobystrický,452
Bara,Trebišov,Košický,341
Barca,Rimavská Sobota,Banskobystrický,449
Bardejov,Bardejov,Prešovský,"33,356"
Bardoňovo,Nové Zámky,Nitriansky,883
Bartošova Lehôtka,Žiar nad Hronom,Banskobystrický,418
Bartošovce,Bardejov,Prešovský,718
Baška,Košice - okolie,Košický,332
Baškovce / okres Sobrance,Sobrance,Košický,264
Baškovce / okres Humenne,Humenné,Prešovský,416
Bašovce,Piešťany,Trnavský,341
Batizovce,Poprad,Prešovský,"2,135"
Bátka,Rimavská Sobota,Banskobystrický,955
Bátorová,Veľký Krtíš,Banskobystrický,372
Bátorove Kosihy,Komárno,Nitriansky,"3,494"
Bátovce,Levice,Nitriansky,"1,101"
Becherov,Bardejov,Prešovský,272
Beckov,Nové Mesto nad Váhom,Trenčiansky,"1,291"
Beharovce,Levoča,Prešovský,171
Belá / okres Nove Zamky,Nové Zámky,Nitriansky,399
Belá / okres Zilina,Žilina,Žilinský,"3,361"
Belá - Dulice,Martin,Žilinský,"1,242"
Belá nad Cirochou,Snina,Prešovský,"3,323"
Beladice,Zlaté Moravce,Nitriansky,"1,504"
Belejovce,Svidník,Prešovský,21
Belín,Rimavská Sobota,Banskobystrický,180
Belina,Lučenec,Banskobystrický,637
Belince,Topoľčany,Nitriansky,300
Bellova Ves,Dunajská Streda,Trnavský,184
Beloveža,Bardejov,Prešovský,813
Beluj,Banská Štiavnica,Banskobystrický,133
Beluša,Púchov,Trenčiansky,"6,043"
Belža,Košice - okolie,Košický,361
Beňadiková,Liptovský Mikuláš,Žilinský,433
Beňadikovce,Svidník,Prešovský,228
Beňadovo,Námestovo,Žilinský,731
Beňatina,Sobrance,Košický,239
Beniakovce,Košice - okolie,Košický,558
Benice,Martin,Žilinský,278
Benkovce,Vranov nad Topľou,Prešovský,518
Beňuš,Brezno,Banskobystrický,"1,171"
Bernolákovo,Senec,Bratislavský,"5,149"
Bertotovce,Prešov,Prešovský,493
Beša / okres Michalovce,Michalovce,Košický,355
Beša / okres Levice,Levice,Nitriansky,671
Bešeňov,Nové Zámky,Nitriansky,"1,708"
