053 14 Bukovinka (LE)
986 01 Bulhary (LC)
082 33 Bunde (PO)
044 47 Bunetice (KS)
072 44 Bunkovce (SO)
991 22 Bušince (VK)
059 93 Bušovce (KK)
930 39 Búštelek (DS)
022 04 Butty (CA)
044 73 Buzica (KS)
044 13 Buzice (KS)
985 41 Buzitka (LC)
044 41 Byster (KS)
977 01 Bystrá (BR)
090 23 Bystrá (SP)
053 62 Bystrany (SN)
094 34 Bystré (VT)
972 45 Bystričany (PD)
946 38 Bystrička (KN)
038 04 Bystrička (MT)
985 24 Bystrička (PT)
076 13 Byšta (TV)
014 01 Bytča (BY)
010 09 Bytčica (ZA)
966 01 Bzenica (ZH)
082 42 Bzenov (PO)
956 05 Bzince (TO)
916 11 Bzince pod Javorinou (NM)
026 01 Bziny (DK)
962 41 Bzovík (KA)
962 62 Bzovská Lehôtka (ZV)
090 33 Bžany (SP)
951 17 Cabaj (NR)
094 14 Cabov (VT)
980 42 Cakov (RS)
076 05 Cejkov (TV)
010 01 Celulózka (ZA)
080 01 Cemjata (PO)
090 16 Cernina (SK)
972 48 Cerová (PD)
906 33 Cerová (SE)
951 24 Ceroviny (NR)
962 52 Cerovo (KA)
044 71 Cestice (KS)
916 11 Cetuna (NM)
919 43 Cífer (TT)
971 01 Cigeľ (PD)
086 02 Cigeľka (BJ)
086 37 Cigla (SK)
956 37 Cimenná (BN)
985 22 Cinobaňa (PT)
908 48 Cunín (SI)
951 24 Čab (NR)
067 16 Čabalovce (ML)
067 02 Čabiny (ML)
962 51 Čabradský Vrbovok (KA)
974 01 Čačín (BB)
905 01 Čáčov (SE)
022 01 Čadca (CA)
022 04 Čadca - Kyčerka (CA)
022 01 Čadečka (CA)
916 21 Čachtice (NM)
935 61 Čajakovo (LV)
935 24 Čajkov (LV)
935 68 Čaka (LV)
951 43 Čakajovce (NR)
044 45 Čakanovce (KS)
985 58 Čakanovce (LC)
930 40 Čakany (DS)
094 35 Čaklov (VT)
946 02 Čalovec (KN)
986 01 Čamovce (LC)
044 14 Čaňa (KS)
934 01 Čankov (LV)
951 17 Čápor (NR)
953 01 Čaradice (ZM)
908 43 Čáry (SE)
900 89 Častá (PK)
946 03 Částa (KN)
906 04 Častkov (SE)
916 27 Častkovce (NM)
935 63 Čata (LV)
900 83 Čataj (SC)
972 29 Čavoj (PD)
991 25 Čebovce (VK)
072 11 Čečehov (MI)
044 71 Čečejovce (KS)
930 36 Čečínska Potôň (DS)
985 45 Čechánky (DT)
930 34 Čechová (DS)
941 32 Čechy (NZ)
951 07 Čechynce (NR)
962 41 Čekovce (KA)
951 03 Čeľadice (NR)
956 16 Čeľadince (TO)
991 22 Čeláre (VK)
018 16 Čelkova Lehota (PB)
082 14 Čelovce (PO)
991 41 Čelovce (VK)
076 17 Čeľovce (TV)
093 03 Čemerné (VT)
929 01 Čenkesfa (DS)
943 52 Čenkov (NZ)
930 39 Čenkovce (DS)
972 46 Čereňany (PD)
979 01 Čerenčany (RS)
946 65 Čergov (KN)
945 04 Čerhát (KN)
076 81 Čerhov (TV)
974 01 Čerín (BB)
949 01 Čermáň (NR)
956 08 Čermany (TO)
941 05 Černík (NZ)
067 23 Černina (HE)
076 32 Černochov (TV)
916 01 Černochov Vrch (NM)
034 06 Černová (RK)
067 52 Čertižné (ML)
985 02 Červeň (PT)
976 71 Červená Skala (BR)
083 01 Červená Voda (SB)
049 64 Červeňany (RA)
991 01 Červeňany (VK)
082 07 Červenica (PO)
082 56 Červenica pri Sabinove (SB)
920 42 Červeník (HC)
951 82 Červený Hrádok (ZM)
018 56 Červený Kameň (IL)
900 89 Červený Kameň (PK)
059 06 Červený Kláštor (KK)
059 06 Červený Kláštor - kúpele (KK)
985 03 České Brezovo (PT)
013 54 Čiakov (BY)
076 71 Čičarovce (MI)
